time;headset_pose;headset_orientation;gaze_origin;gaze_direction;tag_of_obj_being_looked_at;focusinfo.point;tracker_pose;tracker_orientation;curr_goal;trials_done_on_goal;in_target;in_start;current_state;eye_good
1.065954;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.075999;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.084978;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.096171;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.104838;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.113697;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.126633;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.135588;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.144360;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.154838;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.164090;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.175959;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
1.184850;(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 0.000000, 1.000000);(-0.200000, 0.000000, 3.000000);(0.000000, 0.000000, 1.000000);g3;(-0.200000, 0.000000, 3.750000);(0.000000, 0.000000, 0.000000);(0.000000, 0.000000, 0.000000, 1.000000);0;0;False;False;0;True
